agents,grid_width,grid_height,time_ms,path_length,distribution
1,20,20,0.108568,25,random
1,20,20,0.149989,21,random
1,20,20,0.125114,24,random
1,20,20,0.06862,13,random
1,20,20,0.085126,9,random
1,20,20,0.370986,31,random
1,20,20,0.492596,31,random
1,20,20,0.176118,17,random
1,20,20,0.121357,14,random
1,20,20,0.149542,20,random
1,20,20,0.211507,26,random
1,20,20,0.209024,21,random
1,20,20,0.098871,21,random
1,20,20,0.078063,17,random
1,20,20,0.061402,12,random
1,20,20,0.050662,11,random
1,20,20,0.118895,17,random
1,20,20,0.05092,7,random
1,20,20,0.089284,16,random
1,20,20,0.042538,7,random
1,20,20,0.051629,9,random
1,20,20,0.057752,5,random
1,20,20,0.0477,9,random
1,20,20,0.046351,8,random
1,20,20,0.112875,24,random
1,20,20,0.042971,7,random
1,20,20,0.042796,7,random
1,20,20,0.175709,18,random
1,20,20,0.078909,15,random
1,20,20,0.089413,15,random
1,20,20,0.098521,19,random
1,20,20,0.047213,8,random
1,20,20,0.18079,27,random
1,20,20,0.029184,1,random
1,20,20,0.029138,1,random
1,20,20,0.029197,1,random
1,20,20,0.029169,1,random
1,20,20,0.029204,1,random
1,20,20,0.029131,1,random
1,40,40,0.171054,17,random
1,40,40,0.326429,28,random
1,40,40,0.370344,45,random
1,40,40,0.750763,37,random
1,40,40,0.220193,12,random
1,40,40,0.177788,21,random
1,40,40,0.25532,36,random
1,40,40,0.266513,33,random
1,40,40,0.137699,14,random
1,40,40,0.257696,36,random
1,40,40,0.173966,16,random
1,40,40,0.119892,11,random
1,40,40,0.183439,18,random
1,40,40,0.186268,18,random
1,40,40,0.150184,14,random
1,40,40,0.110615,9,random
1,40,40,0.355622,34,random
1,40,40,0.159508,17,random
1,40,40,2.51454,44,random
1,40,40,0.217954,29,random
1,40,40,0.103227,16,random
1,40,40,0.397601,55,random
1,40,40,0.136081,37,random
1,40,40,0.190869,38,random
1,40,40,0.146968,35,random
1,40,40,0.209461,46,random
1,40,40,0.105804,24,random
1,40,40,0.15249,41,random
1,40,40,0.090546,21,random
1,40,40,0.211423,50,random
1,40,40,0.076768,17,random
1,40,40,0.056264,8,random
1,40,40,0.16925,47,random
1,40,40,0.06812,9,random
1,40,40,3.78094,58,random
1,40,40,0.062008,15,random
1,13,10,0.052587,1,random
1,13,10,0.013213,1,random
1,13,10,0.017431,1,random
1,13,10,0.020077,1,random
1,13,10,0.012873,1,random
1,13,10,0.006859,1,random
1,13,10,0.00673,1,random
1,13,10,0.012703,1,random
1,13,10,0.020172,1,random
1,13,10,0.019949,1,random
1,13,10,0.012252,1,random
1,13,10,0.013167,1,random
1,13,10,0.011197,1,random
1,13,10,0.023171,1,random
1,13,10,0.025288,1,random
1,13,10,0.024766,1,random
1,13,10,0.023246,1,random
1,13,10,0.023034,1,random
1,13,10,0.023133,1,random
1,13,10,0.023342,1,random
1,13,10,0.023979,1,random
1,13,10,0.018956,1,random
1,13,10,0.013227,1,random
1,13,10,0.016058,1,random
1,13,10,0.01527,1,random
1,13,10,0.013027,1,random
1,13,10,0.009592,1,random
1,13,10,0.013287,1,random
1,13,10,0.012473,1,random
1,13,10,0.012662,1,random
1,13,10,0.012607,1,random
1,13,10,0.013186,1,random
1,13,10,0.012454,1,random
1,13,10,0.012641,1,random
1,13,10,0.013511,1,random
1,13,10,0.013112,1,random
1,13,10,0.021967,1,random
1,13,10,0.022065,1,random
1,13,10,0.02132,1,random
1,13,10,0.014343,1,random
1,13,10,0.014187,1,random
1,13,10,0.012648,1,random
1,13,10,0.013436,1,random
1,13,10,0.012608,1,random
1,13,10,0.012823,1,random
1,13,10,0.012839,1,random
1,13,10,0.017612,1,random
1,13,10,0.012614,1,random
1,13,10,0.012886,1,random
1,13,10,0.018734,1,random
1,13,10,0.013036,1,random
1,13,10,0.012617,1,random
1,13,10,0.013112,1,random
1,13,10,0.012738,1,random
1,13,10,0.012275,1,random
1,13,10,0.034892,1,random
1,13,10,0.028657,1,random
1,13,10,0.034064,1,random
1,13,10,0.014197,1,random
1,13,10,0.014089,1,random
1,13,10,0.013565,1,random
1,13,10,0.013187,1,random
1,13,10,0.012853,1,random
1,13,10,0.013174,1,random
1,13,10,0.013223,1,random
1,13,10,0.014101,1,random
1,13,10,0.018162,1,random
1,13,10,0.013128,1,random
1,13,10,0.01273,1,random
1,13,10,0.013852,1,random
1,13,10,0.013413,1,random
1,13,10,0.012336,1,random
1,13,10,0.012719,1,random
1,13,10,0.013134,1,random
1,13,10,0.013858,1,random
1,13,10,0.011194,1,random
